frame,area_px
cam0_04-17_17-00(147).jpg,1137907
cam0_04-17_18-00(148).jpg,1138574
cam0_04-17_19-00(149).jpg,1142497
cam0_04-17_20-00(150).jpg,946106
cam0_04-17_21-00(151).jpg,1135679
cam0_04-17_22-00(152).jpg,1132091
cam0_04-17_23-00(153).jpg,1130002
cam0_04-18_00-00(154).jpg,1134955
cam0_04-18_01-00(155).jpg,1126282
cam0_04-18_02-00(156).jpg,1121837
cam0_04-18_03-00(157).jpg,1120898
cam0_04-18_04-00(158).jpg,1127187
cam0_04-18_05-00(159).jpg,1113817
cam0_04-18_06-00(160).jpg,1121125
cam0_04-18_07-00(161).jpg,1113580
cam0_04-18_08-00(162).jpg,1111393
cam0_04-18_09-00(163).jpg,1115109
cam0_04-18_10-00(164).jpg,1116410
cam0_04-18_11-00(165).jpg,1119420
cam0_04-18_12-00(166).jpg,1104974
cam0_04-18_13-00(167).jpg,1085843
cam0_04-18_14-00(168).jpg,922633
cam0_04-18_15-00(169).jpg,1073922
cam0_04-18_16-00(170).jpg,1096826
cam0_04-18_17-00(171).jpg,1076978
cam0_04-18_18-00(172).jpg,907900
cam0_04-18_19-00(173).jpg,1045825
cam0_04-18_20-00(174).jpg,865932
cam0_04-18_21-00(175).jpg,1053926
cam0_04-18_22-00(176).jpg,877249
cam0_04-18_23-00(177).jpg,858732
cam0_04-19_00-00(178).jpg,866602
cam0_04-19_01-00(179).jpg,861988
cam0_04-19_02-00(180).jpg,1055848
cam0_04-19_03-00(181).jpg,904431
cam0_04-19_04-00(182).jpg,1045549
cam0_04-19_05-00(183).jpg,863670
cam0_04-19_06-00(184).jpg,864315
cam0_04-19_07-00(185).jpg,1104084
cam0_04-19_08-00(186).jpg,884943
cam0_04-19_09-00(187).jpg,1041339
cam0_04-19_10-00(188).jpg,868135
cam0_04-19_11-00(189).jpg,860236
cam0_04-19_12-00(190).jpg,1098802
cam0_04-19_13-00(191).jpg,1039373
cam0_04-19_14-00(192).jpg,845319
cam0_04-19_15-00(193).jpg,844382
cam0_04-19_16-00(194).jpg,1044347
cam0_04-19_17-00(195).jpg,848757
cam0_04-19_18-00(196).jpg,839871
cam0_04-19_19-00(197).jpg,882336
cam0_04-19_20-00(198).jpg,849734
cam0_04-19_21-00(199).jpg,842969
cam0_04-19_22-00(200).jpg,840906
cam0_04-19_23-00(201).jpg,1063813
cam0_04-20_00-00(202).jpg,838415
cam0_04-20_01-00(203).jpg,834367
cam0_04-20_02-00(204).jpg,843583
cam0_04-20_03-00(205).jpg,836759
cam0_04-20_04-00(206).jpg,861594
cam0_04-20_05-00(207).jpg,864658
cam0_04-20_06-00(208).jpg,878813
cam0_04-20_07-00(209).jpg,1059880
cam0_04-20_08-00(210).jpg,839840
cam0_04-20_09-00(211).jpg,1012755
cam0_04-20_10-00(212).jpg,1027558
cam0_04-20_11-00(213).jpg,837766
cam0_04-20_12-00(214).jpg,878756
cam0_04-20_13-00(215).jpg,841122
cam0_04-20_14-00(216).jpg,873387
cam0_04-20_15-00(217).jpg,1037257
cam0_04-20_16-00(218).jpg,1029434
cam0_04-20_17-00(219).jpg,1032071
cam0_04-20_18-00(220).jpg,855219
cam0_04-20_19-00(221).jpg,815534
cam0_04-20_20-00(222).jpg,1049379
cam0_04-20_21-00(223).jpg,1040366
cam0_04-20_22-00(224).jpg,851266
cam0_04-20_23-00(225).jpg,1029082
cam0_04-21_00-00(226).jpg,1016252
cam0_04-21_01-00(227).jpg,1017072
cam0_04-21_02-00(228).jpg,1022600
cam0_04-21_03-00(229).jpg,1007794
cam0_04-21_04-00(230).jpg,1017590
cam0_04-21_05-00(231).jpg,1031769
cam0_04-21_06-00(232).jpg,1023041
cam0_04-21_07-00(233).jpg,1024922
cam0_04-21_08-00(234).jpg,985220
cam0_04-21_09-00(235).jpg,983491
cam0_04-21_10-00(236).jpg,1000398
cam0_04-21_11-00(237).jpg,1010394
cam0_04-21_12-00(238).jpg,988280
cam0_04-21_13-00(239).jpg,948763
cam0_04-21_14-00(240).jpg,995603
cam0_04-21_15-00(241).jpg,1001512
cam0_04-21_16-00(242).jpg,1000518
cam0_04-21_17-00(243).jpg,974607
cam0_04-21_18-00(244).jpg,1019667
cam0_04-21_19-00(245).jpg,986095
cam0_04-21_20-00(246).jpg,812335
cam0_04-21_21-00(247).jpg,805268
cam0_04-21_22-00(248).jpg,777803
cam0_04-21_23-00(249).jpg,944694
cam0_04-22_00-00(250).jpg,970170
cam0_04-22_01-00(251).jpg,995354
cam0_04-22_02-00(252).jpg,881441
cam0_04-22_03-00(253).jpg,964066
cam0_04-22_04-00(254).jpg,986156
cam0_04-22_05-00(255).jpg,959964
cam0_04-22_06-00(256).jpg,959007
cam0_04-22_07-00(257).jpg,972689
cam0_04-22_08-00(258).jpg,982928
